Price_Milk,Price_Chocolate,Price_Soup,Price_Ramen,Demand_Milk,Demand_Chocolate,Demand_Soup,Demand_Ramen
2.41,2.22,5.02,1.07,1375,243,161,1039
2.58,4.06,5.07,2.09,954,103,174,222
2.04,2.27,3.35,2.81,1663,282,503,126
5.1,6.67,5.71,3.27,552,48,133,84
4.27,4.05,4.26,2.89,765,96,191,124
2.18,6.6,2.73,2.04,1738,120,436,362
4.27,4.0,5.86,2.55,787,95,71,167
5.3,4.27,3.87,2.67,431,89,178,77
2.79,4.02,4.61,0.68,1204,153,98,2114
5.16,2.8,4.14,0.18,469,128,39,13309
3.15,2.98,5.85,2.45,800,214,88,161
2.42,6.55,2.12,1.01,1409,108,483,818
4.78,6.12,2.82,3.27,580,62,277,47
2.35,6.91,5.22,2.18,1338,130,149,320
2.47,2.23,2.22,0.34,983,283,388,8827
4.06,4.91,4.33,1.53,618,88,154,318
2.07,3.98,4.27,1.11,1469,193,225,1081
4.6,7.91,5.63,1.21,621,49,67,355
4.03,6.89,2.85,1.43,787,67,284,467
2.69,2.26,4.89,0.33,866,245,81,9140
2.8,3.3,2.02,3.0,1159,197,784,81
3.21,5.25,3.8,2.57,1048,99,212,156
4.74,7.79,3.52,2.35,645,54,133,97
2.69,3.14,5.83,1.31,1151,188,65,812
3.27,7.51,3.21,0.94,900,71,228,877
4.4,7.61,3.91,0.12,438,48,50,40431
5.5,4.52,4.73,1.06,537,85,70,434
4.23,4.06,5.75,1.5,683,122,87,286
2.88,5.45,3.57,3.34,1007,83,219,96
2.47,4.7,4.71,3.02,769,171,214,133
3.41,5.91,2.87,3.07,743,99,289,94
5.0,4.33,4.67,1.87,665,62,98,205
1.81,4.27,2.41,1.58,2297,169,494,503
2.53,5.44,5.78,2.73,1411,113,110,191
4.94,2.26,3.92,1.82,724,120,82,190
3.12,2.01,5.22,2.6,1245,264,153,145
3.09,7.18,2.99,2.89,1026,105,415,54
2.97,5.83,4.36,2.36,590,112,182,195
3.19,6.31,2.6,0.34,574,101,179,6375
3.71,6.73,4.79,1.05,757,65,127,743
3.39,6.67,5.55,1.4,880,79,129,526
4.17,7.41,2.32,2.44,662,63,392,122
2.83,6.95,4.3,1.01,971,127,181,1337
4.49,4.89,3.1,3.13,619,111,267,71
2.72,6.02,3.37,0.47,990,116,141,4071
2.87,6.43,5.04,0.88,1311,116,62,1573
3.71,6.09,3.4,3.07,769,103,205,99
2.59,3.35,5.87,3.13,1314,194,203,147
2.76,6.71,4.95,0.53,600,78,107,4674
4.11,7.96,3.79,2.94,765,44,216,84
3.15,5.87,3.71,1.6,880,103,194,331
5.06,2.69,5.14,2.87,620,136,108,71
2.27,2.35,5.25,3.28,1475,335,233,142
5.21,4.16,3.87,3.38,447,82,170,52
3.09,5.87,3.38,2.08,1216,102,343,282
1.7,3.47,5.54,0.82,2218,313,141,2956
4.32,3.66,3.2,2.32,749,135,214,156
4.78,2.28,4.85,1.17,628,105,73,584
5.3,6.7,2.04,1.2,520,59,342,313
3.18,2.72,3.41,1.17,664,173,235,572
3.13,5.99,4.46,1.8,994,69,158,325
4.39,7.05,3.68,2.88,674,50,184,99
3.48,3.55,3.43,1.99,937,99,261,198
2.56,5.41,3.65,3.43,1521,124,341,74
3.24,4.26,3.72,2.1,903,153,155,212
4.94,7.96,4.86,1.7,540,50,89,316
2.18,4.48,5.54,0.66,1698,164,146,2713
3.31,6.11,2.1,3.42,814,68,774,75
5.37,6.34,5.67,3.35,426,49,93,67
5.16,5.67,2.3,1.18,352,62,279,265
3.01,6.98,2.45,1.76,999,86,350,320
5.19,6.4,5.53,1.33,366,65,67,518
2.97,6.65,3.98,1.35,949,91,149,705
2.88,7.22,2.57,2.6,1064,82,257,122
3.43,4.55,3.77,1.08,866,126,163,659
5.48,5.39,2.12,2.63,502,75,357,87
5.25,2.62,5.37,2.03,563,89,83,197
2.28,6.26,5.21,1.21,1401,116,182,598
1.51,5.67,4.79,3.33,2651,153,278,175
3.1,5.48,5.09,2.01,1510,110,175,276
4.7,5.69,3.51,1.32,626,66,131,419
3.63,2.82,5.01,0.88,912,145,99,1245
3.13,5.15,2.82,1.61,1129,108,336,440
1.98,5.98,3.63,1.58,1415,103,217,414
2.73,6.23,4.42,3.02,1329,71,118,104
4.2,3.23,4.5,1.91,794,97,122,155
4.48,5.2,4.47,1.13,616,87,76,676
2.28,5.95,2.33,3.43,943,130,773,52
2.55,6.75,2.11,0.53,1301,78,380,2546
4.25,6.7,4.64,0.9,545,65,63,784
3.68,3.5,5.54,3.32,717,132,115,55
4.34,6.82,2.85,2.87,689,61,264,99
2.91,4.52,5.89,2.07,1052,134,126,410
4.75,6.25,2.16,3.46,675,73,397,57
1.84,7.69,5.82,0.66,2422,111,115,3102
4.42,3.68,5.39,2.77,503,80,105,114
3.09,2.26,2.86,1.2,1124,223,153,643
1.69,5.35,4.96,0.69,2016,188,178,3671
2.04,6.95,2.43,1.51,1818,110,441,511
2.91,4.71,2.43,1.57,1082,133,431,385
4.26,4.81,5.85,2.22,571,56,113,233
2.52,6.69,5.1,2.16,1089,103,194,239
2.95,5.67,5.59,2.89,1154,112,131,150
3.93,2.03,4.42,0.56,591,192,69,3186
1.93,7.39,4.65,0.27,1725,81,99,19337
4.9,3.35,4.43,3.06,660,87,154,102
4.73,3.16,4.29,2.04,549,130,84,266
4.36,2.83,2.12,1.35,729,150,359,260
5.04,6.4,5.09,1.76,603,61,71,246
5.18,4.9,5.49,2.61,525,88,117,97
2.46,3.54,5.21,0.49,931,120,106,4902
5.48,5.03,3.17,2.64,518,81,116,69
1.8,3.13,3.09,0.37,1856,248,191,4996
4.97,4.5,5.91,2.62,667,78,76,103
3.02,7.67,4.01,2.95,1148,99,249,100
5.21,5.15,3.09,1.5,552,81,176,226
4.02,3.79,3.77,3.15,740,135,227,75
3.19,6.08,3.72,0.72,757,95,101,1452
4.64,4.46,3.56,1.72,544,71,177,220
2.4,7.2,5.86,3.45,1323,108,174,104
2.54,7.64,4.89,2.46,938,100,188,212
3.24,5.61,5.48,2.29,895,81,121,205
4.75,4.85,5.41,2.26,534,66,86,167
1.86,3.67,3.48,3.2,1694,228,377,138
4.72,2.36,3.74,2.59,558,192,241,114
3.48,5.57,3.77,0.66,840,75,152,1676
3.49,4.48,5.66,1.31,803,119,90,374
3.62,4.19,5.92,1.15,858,156,75,631
4.43,5.37,3.28,2.53,479,62,163,103
3.7,4.55,4.0,2.32,780,99,159,146
2.46,5.39,5.15,1.66,1486,62,123,483
1.68,5.91,4.22,0.82,1192,169,240,1967
2.54,7.85,4.01,1.41,1297,89,169,715
3.91,4.49,2.14,0.45,674,79,164,2517
3.57,5.29,3.46,0.31,929,122,119,7560
1.87,2.4,5.53,1.6,1483,338,133,836
3.22,7.97,5.28,2.12,814,80,125,177
4.07,2.36,2.01,3.48,532,199,384,58
3.79,2.85,2.74,2.48,651,222,244,140
5.11,7.77,5.17,1.97,752,53,64,173
4.92,7.7,3.84,0.63,549,32,88,1353
4.36,2.77,5.63,0.88,490,158,87,844
1.69,7.47,2.78,1.4,2320,117,536,688
2.74,5.34,3.89,2.26,986,95,239,178
4.81,4.56,4.53,1.0,559,93,80,837
2.26,3.05,2.22,3.29,1545,244,804,105
4.55,6.25,5.13,1.29,655,86,67,727
1.63,7.7,5.79,1.37,1775,163,185,1297
4.69,4.27,3.47,3.41,611,97,166,73
5.16,6.72,2.51,1.56,439,23,224,182
5.37,5.66,5.35,2.45,463,41,126,114
4.96,3.3,4.76,0.53,524,135,68,1581
5.19,5.39,3.29,0.92,642,80,115,571
2.09,2.23,4.03,0.59,1758,284,164,3047
3.27,5.33,3.16,2.68,1021,89,339,113
4.5,2.47,4.57,0.71,803,146,65,1669
3.8,3.0,3.38,0.94,770,139,119,1025
3.27,6.1,4.97,2.51,976,88,170,158
3.43,4.79,3.54,3.09,1247,131,225,123
1.62,4.13,3.78,0.23,1790,239,169,21329
2.12,3.42,2.91,0.7,1523,174,231,1694
4.68,7.66,2.09,0.51,368,59,228,2314
2.17,5.33,3.46,2.73,1068,163,337,202
3.46,2.27,4.1,3.14,831,212,288,112
2.15,4.66,5.92,2.64,1520,161,130,98
4.74,2.11,5.31,1.47,614,138,68,407
2.95,2.16,3.85,0.5,1140,177,105,4332
3.08,3.92,2.04,0.57,635,141,331,2415
3.71,5.05,4.87,2.24,727,91,154,180
3.33,6.2,5.42,2.57,640,84,142,136
4.03,3.08,4.41,1.64,596,142,107,390
4.48,6.75,3.9,3.24,458,69,196,83
2.99,2.97,3.78,1.7,1249,154,209,461
2.88,4.03,5.42,2.87,1321,134,169,206
2.09,3.33,2.61,2.52,2001,190,504,166
4.11,5.2,4.24,2.56,486,71,187,125
4.3,7.13,5.05,2.12,784,89,72,217
3.27,3.93,3.43,0.78,928,166,84,1313
4.73,7.71,4.1,3.24,492,37,104,61
1.83,8.0,5.4,2.88,1678,114,256,232
1.7,5.22,2.86,1.59,2079,208,477,562
3.56,6.43,3.64,1.38,910,72,167,484
2.24,2.21,4.13,0.39,1441,317,137,6242
3.43,2.49,4.34,0.28,776,155,54,12466
2.97,7.07,2.64,1.6,924,112,201,356
5.5,6.25,3.62,3.02,639,43,148,80
5.0,7.55,2.62,2.3,600,38,231,107
3.63,6.26,2.73,1.07,771,88,344,434
2.66,6.03,3.73,1.4,1359,83,179,482
3.11,7.56,2.12,1.04,1381,92,444,778
4.18,4.11,2.49,0.93,900,136,194,686
4.54,6.13,5.4,0.4,388,51,44,4230
3.02,2.45,3.69,0.52,1132,214,144,2808
2.34,4.4,2.73,2.21,1507,164,508,225
4.76,2.44,4.2,1.41,497,111,140,336
1.55,2.29,4.2,1.37,1545,541,392,1176
2.21,4.06,3.72,2.62,991,173,255,205
2.06,5.24,3.12,3.27,1747,123,443,110
2.88,3.48,5.88,3.18,809,153,149,120
4.33,2.57,2.58,2.79,813,199,275,85
1.9,6.19,4.53,1.97,1703,116,252,206
3.39,2.49,4.25,2.07,1091,203,201,273
3.24,7.36,4.3,3.42,809,76,206,121
3.38,7.53,3.28,1.44,1038,69,275,323
4.62,2.5,5.17,1.29,512,127,68,418
4.48,2.58,3.24,0.21,779,115,82,10675
2.92,4.27,3.42,0.52,1083,139,98,2915
3.97,5.19,3.64,0.33,684,74,95,5205
5.07,6.77,3.38,2.14,579,86,191,163
2.08,6.92,5.96,3.46,2230,120,234,166
2.25,2.05,5.68,0.31,1363,352,99,15042
4.11,5.41,3.88,1.26,667,79,133,605
2.02,2.77,2.5,3.17,1756,242,674,133
1.52,6.13,4.69,1.37,2077,154,223,978
2.97,3.15,3.34,2.24,641,240,319,215
2.39,6.87,4.83,1.1,1354,90,90,1139
2.39,7.67,4.47,2.61,1200,83,287,220
4.34,3.63,4.38,0.61,506,123,90,1510
4.28,4.57,2.72,1.32,762,112,172,512
3.44,3.84,2.34,2.42,922,185,476,125
3.07,3.94,2.5,2.22,1031,69,270,147
4.87,2.12,5.11,2.97,530,181,128,80
2.01,4.55,5.07,3.39,1744,161,224,135
4.72,6.21,2.41,3.22,687,51,343,51
4.61,2.39,4.59,0.61,763,119,64,1799
2.01,2.07,2.07,2.5,1517,245,800,205
2.69,5.74,2.22,1.68,1344,82,491,297
2.49,6.68,5.39,0.14,974,112,48,50622
3.29,3.66,3.37,2.96,698,125,327,112
4.72,6.62,3.62,1.36,601,80,175,410
2.81,4.37,5.83,2.48,1088,132,135,231
4.56,2.37,2.02,3.36,720,146,406,59
3.46,5.92,5.05,1.22,538,105,108,751
2.21,6.2,3.8,2.91,1751,104,215,237
4.27,4.98,4.74,3.49,676,70,136,73
3.36,4.65,2.33,1.23,911,144,389,447
3.58,2.05,5.58,0.23,1044,157,23,18125
2.79,6.58,4.4,0.84,995,95,98,1104
2.3,7.08,4.94,1.12,690,94,140,1308
4.88,4.04,2.07,2.31,361,100,286,73
1.55,6.17,3.16,2.98,1993,217,541,175
4.49,7.13,2.13,3.04,397,42,286,75
4.31,5.19,3.28,1.79,559,53,166,207
3.99,4.12,3.33,0.32,699,112,93,6503
2.92,5.51,3.99,2.47,1224,126,185,168
2.67,2.62,3.74,3.32,1272,169,229,114
2.13,6.98,3.25,3.15,1562,109,323,100
2.58,7.21,5.08,1.47,1103,50,114,656
2.01,6.06,3.78,1.68,1242,145,246,426
2.07,4.35,2.33,0.36,1510,201,452,9073
1.65,5.08,3.85,2.43,1253,174,337,190
1.82,5.56,2.13,2.65,2270,147,1071,130
4.38,4.95,2.75,0.85,652,86,176,729
3.8,7.1,2.0,1.15,570,82,430,530
4.04,7.91,2.06,0.28,707,37,194,8160
3.85,6.99,4.56,0.98,664,66,137,1244
2.74,2.32,5.49,1.5,1131,286,123,492
3.39,6.29,3.26,0.79,674,84,129,1351
5.25,6.66,4.41,0.18,516,23,40,18291
3.72,2.96,3.47,2.47,814,126,253,131
4.48,7.92,3.48,0.75,794,56,138,819
2.81,6.85,3.81,2.91,664,84,301,96
4.45,7.18,4.69,3.28,791,77,142,71
4.41,5.22,2.07,0.87,667,48,319,1054
2.1,4.9,5.07,1.4,1645,156,173,688
2.28,7.83,5.04,2.67,1097,106,175,204
3.16,7.0,2.79,0.92,1022,92,226,1109
4.18,5.28,2.08,1.81,958,74,411,211
2.81,7.8,2.04,0.59,1527,83,256,1953
3.08,4.0,3.05,0.65,1074,80,191,1867
1.76,5.83,2.02,0.85,2094,185,664,1903
3.8,4.45,3.09,1.5,703,93,188,417
3.74,6.6,4.99,3.3,745,79,187,106
4.84,6.15,3.29,2.92,373,92,177,78
1.66,5.8,5.32,1.21,2074,222,229,682
1.87,3.43,2.34,3.07,1428,209,613,140
4.55,5.52,4.66,0.9,482,92,80,863
1.79,3.21,3.31,3.08,1383,267,579,161
1.54,2.44,3.65,1.46,2433,377,414,816
4.44,6.75,4.22,2.53,614,66,137,108
5.43,5.61,4.52,0.92,519,70,76,962
4.41,7.58,4.93,3.16,610,60,106,83
5.06,4.83,3.65,2.19,448,87,111,107
3.15,2.92,4.49,1.02,918,152,122,791
2.62,7.26,3.56,0.99,1006,84,138,917
3.06,2.71,5.53,2.96,1020,178,120,108
3.65,7.2,3.37,1.36,663,80,255,482
1.55,5.1,5.31,3.3,2328,216,245,173
3.93,4.01,3.94,0.26,909,92,77,9314
1.95,7.02,2.28,2.19,1544,114,429,258
2.2,3.03,4.35,2.63,1543,180,258,207
2.72,4.0,5.34,3.34,1101,153,210,123
2.88,7.96,4.02,1.81,1181,111,170,262
4.97,3.51,4.41,1.71,526,66,99,268
4.21,6.31,5.96,2.23,600,68,78,190
2.61,2.98,4.31,0.89,997,248,138,1105
1.64,7.81,5.71,3.38,2097,105,178,135
2.72,4.01,3.23,2.85,1153,97,317,107
5.36,2.38,3.39,2.37,385,166,178,137
2.8,3.69,4.1,2.16,720,182,164,231
3.39,7.94,4.84,0.51,682,76,91,4192
4.23,3.72,2.83,2.67,965,110,310,90
3.42,3.58,5.08,3.24,752,147,196,93
2.89,7.27,5.07,2.77,1198,83,166,144
4.28,7.11,4.73,3.38,587,50,135,72
3.89,6.99,2.18,0.78,471,74,125,1274
2.87,2.72,3.72,0.97,1175,182,165,1130
1.81,3.11,4.6,3.26,1115,254,296,220
3.64,6.62,2.31,1.3,852,73,344,166
2.34,6.25,4.55,0.18,1111,134,77,27772
2.91,3.05,3.65,2.68,1143,204,247,147
2.62,5.56,4.52,2.39,1250,117,246,312
2.92,2.54,4.63,3.11,1060,132,194,149
1.81,6.29,2.04,0.86,1174,79,295,1110
4.9,7.81,3.91,2.28,638,63,109,107
3.32,6.27,5.17,1.08,873,75,95,821
2.64,4.07,4.37,2.66,988,183,203,126
2.59,6.61,5.86,3.01,1017,120,146,158
3.56,6.33,4.73,1.97,733,104,119,246
4.3,6.58,2.9,0.35,623,58,133,4771
1.92,2.15,3.89,2.52,1928,507,304,236
3.64,4.54,5.65,2.72,867,120,131,118
1.85,5.45,5.03,0.42,2157,119,103,8156
5.07,6.75,5.97,2.35,733,62,74,134
3.38,3.43,4.47,1.59,1007,98,114,412
3.14,2.62,5.59,2.15,697,137,156,201
3.97,7.64,5.71,2.94,783,82,101,117
3.03,2.45,2.13,2.69,993,193,637,97
1.79,7.85,4.79,0.59,2049,133,132,4921
1.82,7.6,3.4,2.92,1903,133,242,160
1.65,6.73,3.45,3.22,1525,186,571,143
5.24,2.49,5.73,0.55,656,130,41,1654
4.46,7.82,3.56,1.49,788,68,175,316
2.81,7.2,3.79,0.14,791,85,78,51324
4.82,4.19,2.65,2.96,461,90,226,88
3.24,2.88,5.39,0.67,1197,207,51,1617
2.05,3.96,4.66,1.88,1168,166,231,418
4.74,7.96,4.97,0.19,651,76,48,12356
4.24,3.6,2.36,3.27,683,73,250,70
4.45,5.42,4.01,3.49,608,93,203,91
4.31,2.45,5.44,0.74,596,181,70,1645
4.61,6.26,2.1,0.67,733,71,263,1604
1.71,7.79,5.17,2.41,1944,131,220,431
3.08,4.56,2.82,1.95,1052,90,343,168
3.21,7.79,5.7,2.72,859,67,81,178
5.05,5.98,3.9,2.78,569,76,105,114
3.75,6.08,3.96,0.36,919,67,103,6007
1.96,5.09,3.78,3.22,1874,186,273,179
4.14,6.59,5.47,0.18,623,73,43,22865
5.48,5.56,3.17,1.11,471,83,117,627
2.88,2.94,3.48,0.5,1194,242,144,3906
5.18,6.11,3.62,3.49,528,77,203,67
3.44,3.58,2.53,2.88,1118,145,453,85
4.93,4.65,2.01,2.13,501,95,401,100
4.85,3.87,5.16,1.12,354,124,73,717
2.2,2.69,3.71,2.12,1221,259,310,322
4.84,3.41,2.81,1.35,545,99,136,328
2.82,2.73,5.88,2.35,1233,228,109,144
3.66,5.24,4.43,2.99,912,114,167,78
3.74,5.49,5.81,2.99,880,106,151,122
3.87,6.58,5.84,0.13,839,57,30,33404
5.31,3.16,4.29,2.24,675,120,107,157
4.12,3.99,3.82,2.23,675,77,189,136
4.48,6.18,4.04,2.63,695,88,163,84
3.94,6.92,3.05,3.1,438,63,304,86
5.17,2.5,4.53,0.26,491,146,53,8209
1.86,7.52,5.54,2.59,1365,83,145,280
2.74,6.32,2.51,1.56,1159,70,322,477
5.13,7.43,5.19,1.13,543,52,54,513
3.89,6.02,2.74,1.85,664,73,346,163
1.57,5.1,5.76,0.44,2034,173,125,4845
5.44,5.9,5.7,3.14,504,51,94,88
3.93,7.98,5.94,0.52,564,50,58,3429
3.28,2.25,5.08,2.09,993,179,99,278
4.57,6.86,3.03,3.37,484,66,279,53
1.81,3.45,5.45,2.03,1689,223,198,376
5.1,2.92,3.25,2.1,672,92,207,131
5.12,7.58,3.31,0.39,476,57,97,1509
2.85,2.41,3.48,3.11,769,201,257,133
2.75,6.73,2.39,1.64,1353,144,286,432
2.58,7.65,2.1,0.12,1188,72,251,38251
2.88,3.36,2.47,0.85,1020,203,249,1158
2.42,5.66,3.5,3.19,990,133,230,120
2.33,4.47,3.63,1.28,1517,153,222,863
1.51,4.08,2.47,2.79,1719,240,916,210
2.4,7.52,4.5,3.1,1401,55,244,168
5.11,7.45,2.79,0.46,514,71,100,1970
3.46,5.76,5.87,3.41,924,87,116,86
2.53,2.98,3.7,2.95,1191,147,283,181
5.01,4.99,5.23,2.54,376,73,74,146
1.58,5.61,5.05,1.91,2023,102,290,402
5.4,5.36,4.81,2.41,473,58,66,115
4.3,7.11,2.52,0.79,533,62,155,1169
5.45,3.9,5.33,0.67,485,100,47,1494
2.77,3.51,2.82,2.0,1056,161,278,107
2.91,2.91,4.05,0.31,641,211,84,8383
1.96,3.59,3.35,1.29,2079,151,362,766
4.01,3.61,2.52,1.8,794,141,302,253
4.17,7.28,3.96,0.15,812,65,51,21949
5.21,3.91,3.6,0.14,603,88,78,19682
3.21,4.2,2.6,1.55,852,120,385,261
4.05,3.54,2.66,1.62,810,119,285,275
2.3,3.96,5.21,1.72,2030,172,108,492
3.52,7.26,5.11,1.11,862,85,94,749
5.07,3.5,4.25,2.81,639,71,183,76
4.89,6.88,4.09,1.84,589,53,136,193
2.94,2.34,2.4,3.02,811,241,384,98
1.57,3.34,5.74,0.43,1558,235,128,7576
3.81,7.13,5.33,3.26,828,102,126,107
4.36,5.84,3.51,2.46,795,63,184,142
4.04,6.94,3.41,2.78,818,65,199,97
2.69,4.07,3.99,3.09,615,175,263,93
4.06,2.13,3.2,3.44,727,165,265,54
4.08,5.09,5.71,2.54,546,95,73,157
1.57,2.24,5.85,2.98,2115,521,276,196
1.57,5.58,3.78,3.03,2301,162,598,219
3.44,7.9,5.5,2.9,645,54,142,180
1.93,3.77,4.31,3.31,1601,195,304,168
4.67,2.15,5.61,1.07,599,173,82,771
1.91,4.86,2.33,2.12,1668,134,869,252
2.28,7.1,2.62,1.51,1824,161,563,471
2.25,2.23,3.01,2.73,1371,259,388,141
2.85,4.33,3.91,2.41,871,173,192,209
1.77,4.66,5.21,1.76,1084,159,275,520
1.76,4.36,5.51,2.01,1124,165,176,534
3.15,3.32,4.02,2.59,1174,190,218,161
4.66,5.29,4.74,2.72,572,98,146,103
3.35,5.59,4.45,3.23,582,120,226,107
3.89,6.74,5.91,0.83,492,91,62,1480
2.56,5.32,5.29,2.07,556,120,192,294
2.84,2.26,3.12,2.67,1027,172,333,105
3.53,5.71,3.71,1.87,1011,98,211,244
1.9,5.6,3.64,1.85,2095,139,284,483
3.24,4.55,2.16,3.38,668,124,411,57
3.43,2.95,4.8,2.94,678,138,169,159
1.69,3.93,2.7,2.87,2142,222,324,202
3.65,4.59,2.9,0.19,884,100,114,21107
1.65,2.21,2.26,1.59,1708,498,461,457
4.89,6.94,2.45,1.46,580,75,206,212
3.84,5.82,2.41,0.58,751,70,212,2276
2.26,4.43,4.47,2.36,1762,151,246,296
5.41,5.31,5.71,2.89,306,64,57,119
2.33,4.8,2.38,2.8,1607,147,511,103
1.76,4.0,4.72,0.73,2012,222,207,2281
3.12,5.35,2.43,0.89,1096,119,237,932
4.56,6.46,2.85,3.18,780,71,370,53
4.67,6.27,4.53,0.15,701,97,45,16299
3.49,3.27,3.39,0.55,790,134,135,1981
5.15,4.74,3.2,0.26,517,107,93,7218
2.63,3.92,5.72,3.29,897,207,178,109
2.07,6.76,5.52,2.88,899,100,142,142
5.16,4.28,5.23,1.52,417,89,91,216
2.1,2.24,4.08,2.98,1388,270,315,131
4.55,5.0,3.57,2.1,620,87,148,129
2.85,3.49,3.78,0.14,635,115,75,24697
1.89,5.01,3.37,3.2,1373,175,506,187
5.38,7.08,3.03,1.99,496,82,189,171
3.51,7.17,2.92,2.66,1099,76,233,104
3.41,4.0,4.35,2.47,1093,160,160,166
4.65,6.27,5.23,2.49,838,72,72,112
1.56,2.16,3.99,1.38,1141,344,367,1030
4.81,7.82,5.04,1.45,507,50,109,428
2.53,2.89,3.95,1.38,913,264,185,384
3.29,3.57,5.84,1.7,741,148,112,389
2.6,7.73,4.74,1.96,1131,79,193,301
5.1,3.88,4.47,0.89,491,85,66,892
2.27,7.86,4.43,3.02,1421,81,229,185
2.47,7.02,5.37,2.53,1059,75,131,215
3.07,2.36,4.64,0.8,856,183,120,1607
1.74,3.64,3.93,1.11,1558,145,209,1458
2.5,6.21,5.27,0.44,1637,136,92,7279
5.48,2.67,5.63,1.95,492,169,72,210
5.13,7.85,4.15,2.9,561,50,139,86
